,race,social_class,income,president,sex,urban
0,Hispanic,Middle class,249999.0,0.0,Male,City
1,White,Middle class,109999.0,1.0,Female,Suburb
2,Asian,Middle class,39999.0,1.0,Male,Small town
3,Native American,Lower class,300000.0,0.0,Male,City
4,White,Working class,19999.0,1.0,Female,Suburb
5,White,Working class,24999.0,0.0,Female,Small town
6,White,Working class,19999.0,0.0,Female,Small town
7,White,Middle class,59999.0,1.0,Female,Small town
8,Hispanic,Working class,49999.0,1.0,Female,City
9,White,Middle class,124999.0,1.0,Male,Small town
10,White,Lower class,9999.0,0.0,Female,City
11,Asian,Middle class,249999.0,1.0,Male,Suburb
12,Black,Middle class,19999.0,1.0,Female,Small town
13,Hispanic,Working class,39999.0,0.0,Male,Small town
14,White,Middle class,300000.0,1.0,Male,Suburb
15,White,Middle class,174999.0,1.0,Male,Small town
16,White,Middle class,29999.0,1.0,Female,Suburb
17,Hispanic,Middle class,69999.0,0.0,Male,Small town
18,Hispanic,Working class,34999.0,1.0,Female,Rural area
19,White,Middle class,249999.0,1.0,Male,City
20,White,Middle class,29999.0,1.0,Male,Suburb
21,White,Working class,29999.0,0.0,Female,Suburb
22,White,Middle class,174999.0,0.0,Male,Suburb
23,White,Upper class,300000.0,1.0,Male,Rural area
24,Hispanic,Middle class,89999.0,1.0,Male,Suburb
25,Asian,Upper class,9999.0,0.0,Female,Suburb
26,White,Working class,24999.0,1.0,Female,City
27,White,Middle class,174999.0,0.0,Male,Small town
28,White,Middle class,174999.0,1.0,Female,City
29,White,Middle class,59999.0,0.0,Female,Suburb
30,White,Middle class,19999.0,1.0,Female,Suburb
31,White,Middle class,44999.0,1.0,Female,Small town
32,White,Middle class,149999.0,0.0,Female,Suburb
33,Black,Working class,24999.0,1.0,Female,City
34,White,Middle class,59999.0,0.0,Male,City
35,White,Middle class,149999.0,0.0,Female,Small town
36,White,Middle class,300000.0,0.0,Female,Small town
37,White,Middle class,9999.0,0.0,Male,Rural area
38,White,Middle class,59999.0,1.0,Male,Small town
39,White,Middle class,249999.0,1.0,Male,Rural area
40,Asian,Middle class,69999.0,0.0,Female,City
